year,month,day,hour,temperature,cloudiness 
2018,02,28,23,-5.66,4.8
2018,03,01,00,-5.89,5.5
2018,03,01,01,-6.16,7.3
2018,03,01,02,-6.41,9.1
2018,03,01,03,-6.44,9.9
2018,03,01,04,-6.42,9.9
2018,03,01,05,-6.34,9.9
2018,03,01,06,-6.19,10
2018,03,01,07,-5.89,10
2018,03,01,08,-5.58,10
2018,03,01,09,-5.25,10
2018,03,01,10,-4.79,10
2018,03,01,11,-4.05,10
2018,03,01,12,-3.27,10
2018,03,01,13,-2.16,10
2018,03,01,14,-1.27,10
2018,03,01,15,-0.81,10
2018,03,01,16,-1.17,10
2018,03,01,17,-2,10
2018,03,01,18,-2.82,10
2018,03,01,19,-3.28,9.9
2018,03,01,20,-3.76,9.8
2018,03,01,21,-4.21,9.6
2018,03,01,22,-4.74,9.4
